product_id,제품명,기존_brand_name,반영_brand_name
5b41fb55-d0c7-4542-b521-e3de984b0810,챠오츄르 대용량 90P 코스트코 고양이 츄르 간식 버라이어티 반려묘 차오추르 90P,쿠팡검색,챠오츄르
5b872dfd-158c-4b1f-b6e2-6a784e2ec003,맘스펫푸드 강아지 고양이 자연건조 국내산 무첨가 고단백 기호성 수제간식,쿠팡검색,맘스펫푸드
5dbb59e0-aaee-4d8c-b43f-ca132ea72dc7,"본아페티 고양이 기능성 사료, 면역/항산화, 1kg, 6개",쿠팡검색,본아페티
5e9f46e3-e07e-40ff-a15d-9e0af9c21a89,하림펫푸드 어덜트 강아지 더리얼 그레인프리 오븐베이크드 건식사료,쿠팡검색,하림펫푸드
5ea078cd-3179-432a-b04d-b80c64e9a373,도그랑 전연령 강아지 진도 골드 건식사료,쿠팡검색,도그랑
60bc1503-38fb-424a-b6ea-72fc8f849e48,"now 어덜트 강아지 그레인프리 스몰브리드 건식사료, 칠면조, 2kg, 1개",쿠팡상품,now
615f32ff-f08f-495a-b615-0b2c1f2d27f3,하림펫푸드 전연령 반려동물 더리얼 필렛 간식,쿠팡검색,하림펫푸드
61bfd01a-eb4e-4b0a-a549-9e827cc40d07,"본아페티 강아지 기능성 사료, 눈물개선/눈건강, 1kg, 2개",쿠팡검색,본아페티
61c20af4-5f32-4622-ae04-386af75d9b8b,챠오츄르 고양이 구루메 버라이어티 간식 60p,쿠팡검색,챠오츄르
61e0af7f-a8d6-4aa4-92bb-5344100bc1ea,동원뉴트리플랜 고양이 모이스트루 습식 간식,쿠팡검색,동원
63047f6f-7296-4e40-b453-5543a7a4f459,마이펫닥터 강아지 시그니처 2.0 기능성 사료,쿠팡검색,마이펫닥터
6331cb60-eaf2-44d6-89a0-126beec4cfba,[겟플렉스]이나바 제이타크 퐁츄르 버라이어티팩 고양이간식,쿠팡검색,이나바
655e5948-3683-48ef-973e-381703531ee6,동원뉴트리플랜 고양이 간식 습식캔,쿠팡검색,동원
65a172b4-ff0a-4e4c-8a62-5d58583aa70a,ANF 베터플러스 캣 기능성 사료 에이징 11+,쿠팡검색,ANF
65c5b082-332d-43ad-a8eb-c13e1de98bb6,"닥터뉴토 강아지 습식 주식 대용 뉴트리케어 리커버리 (식욕부진 노견 회복기 고열량 유동식 영양식), 15g, 60개, 가수분해닭",쿠팡검색,닥터뉴토
66066c75-3075-475c-9463-f4668607bcdf,"닥터뉴트리코어 강아지 가수분해 덴탈껌, 새우, 540g, 2개",쿠팡검색,닥터뉴트리코어
66a84039-6846-44ef-ad42-84a469ee2bb4,더독 전연령 강아지 닥터 소프트 사료,쿠팡검색,더독
66e41742-27ce-488c-9bac-03e4bd1782d0,탐사 프리미엄 뉴트리션 도그 푸드 강아지 사료 피부&장,쿠팡검색,탐사
6707b52e-9240-4f06-a64a-23cf9dd6c463,"올바른끼니 플러스 - 소고기 + 연어 + 오리 3.6kg 대용량 강아지사료 _ 60%생육, 100%휴먼그레이드, 스팀공법 영양식 강아지밥, 1세트, 3.75kg, 소+연어",쿠팡검색,올바른끼니
68287f2d-a437-4e76-91e6-d16bd4d82eef,하림펫푸드 전연령 반려동물 더리얼 필렛 간식,쿠팡검색,하림펫푸드
69781ba6-fa3e-4320-9c24-ec931165e4dd,네츄럴코어 고양이 유기농 멀티95 기능성 사료,쿠팡검색,네츄럴코어
69c77616-1b56-4d49-b9b7-0a8af0a134f4,탐사 강아지 고구마말랭이 간식,쿠팡검색,탐사
6ca6edf4-c8f0-46b7-8add-140450648f78,뽀시래기 고양이 큐브 트릿 동결건조간식,쿠팡검색,뽀시래기
6d3fe771-c020-490d-af2e-80bfd26a516f,"로얄 어드밴스캔, 고양이간식캔, 48개, 85g, 콤보",쿠팡검색,로얄
6e4d2400-1bfc-4305-98ba-6162a840cca5,네츄럴코어 강아지 소프트 슬라이스 건조 간식,쿠팡검색,네츄럴코어
7096863a-40ac-416a-908a-33187bcbb805,더독 노령견용 강아지 닥터 소프트 사료,쿠팡검색,더독
71bc01b3-7175-42d5-a720-46f4bc509ceb,캐츠랑 고양이 저요저요 보양간식,쿠팡검색,캐츠랑
74976230-face-40a5-aa0d-6ef89fea5f77,네츄럴랩 전연령 강아지 6 ZERO PLUS 3 유기농 건식사료,쿠팡검색,네츄럴랩
7519087d-d8e9-4947-b3e6-dda0313914e5,ANF 고양이 식스프리 인도어 기능성 사료,쿠팡검색,ANF
756a02c5-2b0a-49be-a856-6ceaf144df71,탐사 강아지 뉴트리션 비전 트릿,쿠팡검색,탐사
768de2bc-a547-45f4-a566-3c05a89a6837,풀무원아미오 강아지 건강담은 트릿,쿠팡검색,풀무원아미오
7941adf0-c2c9-402c-a40d-2570fa0d504e,로얄캐닌 캣 헤어볼 케어 사료 2kg  고양이 헤어볼 사료,쿠팡검색,로얄캐닌
799e1774-8f06-4ee3-9bd7-b1ea4f69d361,힐스사이언스다이어트 고양이 사이언스 다이어트 사료 어덜트 연어,쿠팡검색,힐스
7aca3926-479d-4278-9939-21603a71dd34,국개대표 강아지 올바른끼니 기능성 사료,쿠팡검색,국개대표
7cac91ae-4cce-43e4-ae5d-db986c864c33,캣스티발 캣그라스 스틱 간식 12p,쿠팡검색,캣스티발
